config,chunk_id,source,heading_path,start,end,tokens,body_tokens,chars,clean_start,clean_end,sections,units
A,78a3259a-b365-4653-8231-a23120d62358,corn/corn_gray_leaf_spot.txt,,2549,3481,362,275,1119,True,True,,
A,4cda6bc7-91d0-4918-ba64-fbc35758bd5d,corn/corn_gray_leaf_spot.txt,,3378,4338,357,270,1147,True,True,,
A,27cdec90-dda7-4385-9d65-b3fa58167eaf,corn/corn_gray_leaf_spot.txt,,4202,5164,357,270,1149,True,True,,
A,9a097c08-0c98-45d2-af06-796b790bbdc6,corn/corn_gray_leaf_spot.txt,,5029,6006,378,291,1164,True,True,,
A,0e8119e3-ef9d-4bb2-a3cc-7a76ccc3b474,corn/corn_gray_leaf_spot.txt,,5900,6742,350,263,1029,True,True,,
A,13e7043b-4d4c-499f-9d18-87517eb2bff0,corn/corn_gray_leaf_spot.txt,,6641,7559,364,277,1105,True,True,,
A,6bdf886e-64ff-42cb-9c3b-ec7c52e23816,corn/corn_gray_leaf_spot.txt,,7445,8436,383,296,1178,True,True,,
A,d62365ca-bca4-4bc8-aab7-3acaba097c74,corn/corn_gray_leaf_spot.txt,,8381,9330,357,270,1136,True,True,,
A,3b52f364-86db-495e-85aa-8042144981d7,corn/corn_gray_leaf_spot.txt,,9259,10085,313,226,1013,True,True,,
A,22c81bb0-0260-4aa2-89b2-e2331a335149,corn/corn_gray_leaf_spot.txt,,9958,10826,329,242,1055,True,True,,
A,ebc5573e-0491-4508-83d7-a35de35f7697,corn/corn_gray_leaf_spot.txt,,10689,11599,321,234,1097,True,True,,
A,c8fb5687-c007-4793-9fc9-733aeac97052,corn/corn_gray_leaf_spot.txt,,11491,12279,324,237,975,True,True,,
A,ec0b6311-d702-445d-9d20-b0cab4a576fa,corn/corn_gray_leaf_spot.txt,,12144,13060,343,256,1103,True,True,,
A,7d64de50-8568-4904-87c1-86fba37a434e,corn/corn_gray_leaf_spot.txt,,12983,13882,337,250,1086,True,True,,
A,b2e06434-cec1-4d6e-a586-a60f4d14cbd8,corn/corn_gray_leaf_spot.txt,,13884,14115,158,71,418,True,True,,
A,bbcc33b5-fa97-4e85-bcbd-9f4705187900,corn/corn_gray_leaf_spot.txt,,14117,15073,359,272,1143,True,True,,
A,6de25b0f-0c50-4d72-801e-26eb8afbd4d3,corn/corn_gray_leaf_spot.txt,,14928,15606,274,187,865,True,True,,
A,af3e6d62-8b2d-4de6-90ae-c9b1ae71653f,corn/corn_northern_leaf_blight.txt,,0,938,353,278,1122,True,True,,
A,48e4b111-0467-41a0-97a4-e72631f3e2df,corn/corn_northern_leaf_blight.txt,,816,1790,331,256,1158,True,True,,
A,2188d731-1068-4596-a6a4-da165b80becc,corn/corn_northern_leaf_blight.txt,,1690,2537,299,224,1031,True,True,,
A,0210515f-1b3a-4e40-a4e0-a92b15ed5512,corn/corn_northern_leaf_blight.txt,,2404,3399,350,275,1179,True,True,,
A,e651e0de-8196-4bd8-9a98-a8845b743459,corn/corn_northern_leaf_blight.txt,,3298,4287,360,285,1173,True,True,,
A,cfedbd6a-e78b-4893-b943-e410030efeef,corn/corn_northern_leaf_blight.txt,,4290,5263,344,269,1157,True,True,,
A,51585017-7e3a-468c-8b45-47dbd50ab14e,corn/corn_northern_leaf_blight.txt,,5146,6065,335,260,1103,True,True,,
A,9b7bed6a-b65a-4e3b-bf4d-9debf7452a6d,corn/corn_northern_leaf_blight.txt,,6009,7001,371,296,1176,True,True,,
A,c991cfff-5a24-4716-8083-51a9fd077562,corn/corn_northern_leaf_blight.txt,,6965,7807,320,245,1026,True,True,,
A,b22fcc8b-9aa6-474b-b9bd-19a5d3e0bb3d,corn/corn_northern_leaf_blight.txt,,7665,8559,337,262,1078,True,True,,
A,67e6c725-ad97-4508-adc5-292afa60d4e5,corn/corn_northern_leaf_blight.txt,,8469,9344,302,227,1059,True,True,,
A,0210843f-9b87-4d20-93c7-dc855d0e6308,corn/corn_northern_leaf_blight.txt,,9230,10180,345,270,1134,True,True,,
A,a7b92ecc-afb4-472a-96fb-345b6a083c4f,corn/corn_northern_leaf_blight.txt,,10061,11017,355,280,1140,True,True,,
A,33e97e9e-1b57-4dee-9eff-07acef2bfa11,corn/corn_northern_leaf_blight.txt,,10995,11969,357,282,1158,True,True,,
A,a29ac6a1-eebc-46ce-8e5a-fa2ea4d757bf,corn/corn_northern_leaf_blight.txt,,11862,12593,288,213,915,True,True,,
A,4af4474e-1733-49b9-954e-7ac7a900b505,corn/corn_northern_leaf_blight.txt,,12470,13453,361,286,1167,True,True,,
A,782fdd8d-574e-427b-aacf-93900b7f6b87,corn/corn_northern_leaf_blight.txt,,13455,14425,358,283,1154,True,True,,
A,bc004335-5205-4ace-8a6d-81773557d6d1,corn/corn_northern_leaf_blight.txt,,14318,14862,228,153,728,True,True,,
A,c5045610-b2f3-45a8-9ee4-ec869b66308c,grape/grape_esca.txt,,0,848,289,231,983,True,True,,
A,6f640d59-503e-4e26-b088-bf1d61e45678,grape/grape_esca.txt,,729,1679,309,251,1085,True,True,,
A,6d730801-ad79-4a2a-b1a2-0c85ef46a464,grape/grape_esca.txt,,1550,2495,326,268,1080,True,True,,
A,255b9865-2001-4dee-b67d-e9e66a0de9f5,grape/grape_esca.txt,,2366,3355,324,266,1124,True,True,,
A,b30f6dbf-4f65-4604-b4f6-1f93fe1ff8e4,grape/grape_esca.txt,,3283,4272,354,296,1124,True,True,,
A,861df2e3-c97b-45b4-86fe-288b10efe97e,grape/grape_esca.txt,,4176,5165,345,287,1124,True,True,,
A,dbb6ec13-003f-404e-a3a8-4600ecbd9f38,grape/grape_esca.txt,,5070,6030,324,266,1095,True,True,,
A,c17492c7-de80-4c8f-bb77-fb29bc35f02a,grape/grape_esca.txt,,5908,6900,316,258,1127,True,True,,
A,2d5974c3-17b9-4611-aa9d-137cfa6817cd,grape/grape_esca.txt,,6845,7733,315,257,1023,True,True,,
A,74594316-03d4-47e1-83d2-827ed96ff78d,grape/grape_esca.txt,,7627,8528,317,259,1036,True,True,,
A,b64218af-77f2-4763-b6ab-8b8bf1496207,grape/grape_esca.txt,,8402,9300,314,256,1033,True,True,,
A,e7005370-1356-4d49-9079-f60d79fd9900,grape/grape_esca.txt,,9172,9990,291,233,953,True,True,,
A,abc2fea0-365b-4ccd-8e36-e3f7726e8f7d,grape/grape_esca.txt,,9909,10844,314,256,1070,True,True,,
A,a2cf04a8-cd09-4fea-8427-4bdf5bf1328c,grape/grape_esca.txt,,10846,11815,325,267,1104,True,True,,
A,3fb4c1df-f6c8-4744-9e44-a10bf74f6e72,grape/grape_esca.txt,,11817,12715,306,248,1033,True,True,,
A,a687cd60-214d-48f0-bfea-fb53b3ccb7cd,grape/grape_esca.txt,,12600,13571,344,286,1106,True,True,,
A,28b3a471-9802-4598-8689-5192fcabd9b3,grape/grape_esca.txt,,13427,13979,232,174,687,True,True,,
A,927fe068-16a8-424a-82ca-63f2b2801d69,grape/grape_esca.txt,,13981,14947,333,275,1101,True,True,,
A,def6cfe8-8a1f-47a6-968b-eedc7fb2252e,grape/grape_esca.txt,,14816,15471,230,172,790,True,True,,
A,13c375d5-42e9-418a-b4de-7dde0899163e,peach/peach_bacterial_spot.txt,,0,976,372,278,1173,True,True,,
A,59eb661b-5cb2-452a-a90e-a881262a2960,peach/peach_bacterial_spot.txt,,883,1857,375,281,1171,True,True,,
A,60902bab-9a5a-4f5f-a7f2-d0cc553a214f,peach/peach_bacterial_spot.txt,,1782,2778,366,272,1193,True,True,,
A,c583f1ef-f546-4f8b-bb0c-87b7a59a0e9f,peach/peach_bacterial_spot.txt,,2659,3593,351,257,1131,True,True,,
A,618a0dc6-9c1d-4c81-a4d2-6e3aa4602d06,peach/peach_bacterial_spot.txt,,3451,4430,380,286,1176,True,True,,
A,1c04974a-9538-4f6c-8222-4d8ee9648f3f,peach/peach_bacterial_spot.txt,,4294,5245,384,290,1148,True,True,,
A,b199ab83-31c2-4f92-b801-3c0fcc54cd96,peach/peach_bacterial_spot.txt,,5130,6112,411,317,1179,True,True,,
A,2a35e945-f1f4-4aeb-a2ee-26d058f5e974,peach/peach_bacterial_spot.txt,,5968,6884,353,259,1113,True,True,,
A,0a4ef707-5818-4e08-8148-2d0d12eb13f1,peach/peach_bacterial_spot.txt,,6742,7702,374,280,1157,True,True,,
A,e9268979-403e-4cf0-a96e-6f3ba6e7285e,peach/peach_bacterial_spot.txt,,7604,8589,355,261,1182,True,True,,
A,50d2d3d3-2c7a-41ec-bfa8-51a7695efefb,peach/peach_bacterial_spot.txt,,8456,9435,347,253,1176,True,True,,
A,5e7b0e68-ba08-40e2-9b46-4e20b6201301,peach/peach_bacterial_spot.txt,,9303,10184,361,267,1078,True,True,,
A,7bae7ac6-1e79-4773-8722-6b64ed9001dd,peach/peach_bacterial_spot.txt,,10186,10455,172,78,466,True,True,,
A,cd108183-1e34-448e-9c59-96cd48361e2f,peach/peach_bacterial_spot.txt,,10457,11409,378,284,1149,True,True,,
A,fc788b15-88e0-4cb7-ac9f-35c2b5a72b5f,peach/peach_bacterial_spot.txt,,11298,11858,241,147,757,True,True,,
A,5458ffbd-0745-4dc8-8566-b4e8a1d06cdd,pepper_bell/pepper_bell_bacterial_spot.txt,,0,908,363,261,1126,True,True,,
A,c07ea898-0df6-4e08-b4ca-fcfe58437164,pepper_bell/pepper_bell_bacterial_spot.txt,,775,1738,377,275,1181,True,True,,
A,4f761985-31e9-4a83-ab99-3dbaeeb0ce73,pepper_bell/pepper_bell_bacterial_spot.txt,,1595,2584,368,266,1207,True,True,,
A,727d3d1f-5712-4bb1-a986-fd25ed4f6802,pepper_bell/pepper_bell_bacterial_spot.txt,,2460,3387,365,263,1145,True,True,,
A,480c29d9-f806-4251-a402-0d2eb5704714,pepper_bell/pepper_bell_bacterial_spot.txt,,3307,4301,368,266,1212,True,True,,
A,10ca4cb5-672e-43ce-b63f-ed7bccec86bb,pepper_bell/pepper_bell_bacterial_spot.txt,,4153,5103,361,259,1168,True,True,,
A,c3664b5f-03fc-418c-9a74-6974ccb0edbb,pepper_bell/pepper_bell_bacterial_spot.txt,,5012,5992,378,276,1198,True,True,,
A,dfd94289-9b14-45c6-bc2f-264fd31110bc,pepper_bell/pepper_bell_bacterial_spot.txt,,5995,6946,365,263,1169,True,True,,
A,473ce4e9-97a0-4b41-a4be-1982d5a0f0b3,pepper_bell/pepper_bell_bacterial_spot.txt,,6919,7859,358,256,1158,True,True,,
A,eae0ea99-e86a-49d9-a4ec-b70dafa8f8ea,pepper_bell/pepper_bell_bacterial_spot.txt,,7747,8740,363,261,1211,True,True,,
A,cf8105a7-04de-4e53-995a-1c46e00c5935,pepper_bell/pepper_bell_bacterial_spot.txt,,8710,9703,369,267,1211,True,True,,
A,d4510586-0cc9-4ed0-b824-e500f4d4aeba,pepper_bell/pepper_bell_bacterial_spot.txt,,9606,10581,348,246,1193,True,True,,
A,8a65505c-4fc0-45b2-aa05-bac9c9eafb89,pepper_bell/pepper_bell_bacterial_spot.txt,,10502,11482,374,272,1198,True,True,,
A,67d2753c-0c41-456a-a9be-e5e3e9cabfb3,pepper_bell/pepper_bell_bacterial_spot.txt,,11395,12366,387,285,1189,True,True,,
A,66fa1919-80aa-4bfd-9f87-5150b1080216,pepper_bell/pepper_bell_bacterial_spot.txt,,12224,13221,402,300,1215,True,True,,
A,b4192410-1056-43e2-8894-d969de802f46,pepper_bell/pepper_bell_bacterial_spot.txt,,13223,14175,391,289,1170,True,True,,
A,9488883a-f223-493d-ba41-9754a5303e30,pepper_bell/pepper_bell_bacterial_spot.txt,,14133,14859,309,207,944,True,True,,
A,0140fdc2-8660-479f-b0a0-e796470fe6d0,pepper_bell/pepper_bell_bacterial_spot.txt,,14861,15798,362,260,1155,True,True,,
A,a3147389-1e69-4400-8053-8d2bdf505501,pepper_bell/pepper_bell_bacterial_spot.txt,,15654,16344,287,185,908,True,True,,
A,4b9f1dc9-14f6-42f9-a9d6-f73afb3c4e31,potato/potato_earrly_blight.txt,,0,966,377,279,1164,True,True,,
